Benchmark,Samples,Mean_ns,P50_ns,P99_ns,P99.9_ns,P99.99_ns,Min_ns,Max_ns,StdDev_ns,Throughput_ops_per_sec
AddOrder,100000,54.19,42.00,125.00,1333.00,6708.00,0.00,132958.00,507.67,18452816
CancelOrder,100000,15.99,0.00,42.00,84.00,167.00,0.00,417.00,20.82,62526730
GetBestAsk,100000,16.20,0.00,42.00,42.00,167.00,0.00,167.00,20.53,61710415
GetBestBid,100000,16.63,0.00,42.00,42.00,167.00,0.00,21916.00,72.33,60141875
GetSnapshot_depth5,100000,216.19,208.00,292.00,375.00,5625.00,125.00,37750.00,186.25,4625496
GetSnapshot_depth10,100000,304.70,292.00,417.00,500.00,16834.00,166.00,50916.00,254.95,3281887
GetSnapshot_depth20,100000,419.89,417.00,583.00,708.00,12583.00,333.00,57875.00,280.88,2381588
GetSpread,100000,16.46,0.00,42.00,42.00,125.00,0.00,167.00,20.45,60759026
MatchOrder,100000,112.74,125.00,208.00,292.00,8750.00,0.00,69625.00,268.89,8870215
MixedWorkload,100000,43.79,41.00,292.00,1584.00,4875.00,0.00,17958.00,144.93,16092911
ModifyOrder,100000,15.64,0.00,42.00,42.00,125.00,0.00,22583.00,79.61,63952972
